filename,style,age,race
female_photo_03_middle_school_16_r8c2.png,,Adult,White
female_photo_04_high_school_01_r1c1.png,,YoungAdult,Asian
female_photo_04_high_school_02_r1c2.png,,Adult,Asian
female_photo_04_high_school_03_r2c1.png,,Adult,White
female_photo_04_high_school_04_r2c2.png,,YoungAdult,White
female_photo_04_high_school_05_r3c1.png,,Adult,Asian
female_photo_04_high_school_06_r3c2.png,,Adult,Asian
female_photo_04_high_school_07_r4c1.png,,Adult,White
female_photo_04_high_school_08_r4c2.png,,Adult,Asian
female_photo_04_high_school_09_r5c1.png,,Adult,Asian
female_photo_04_high_school_10_r5c2.png,,YoungAdult,Asian
female_photo_04_high_school_11_r6c1.png,,Adult,White
female_photo_04_high_school_12_r6c2.png,,YoungAdult,Asian
female_photo_04_high_school_13_r7c1.png,,YoungAdult,Asian
female_photo_04_high_school_14_r7c2.png,,YoungAdult,Asian
female_photo_04_high_school_15_r8c1.png,,YoungAdult,Asian
female_photo_04_high_school_16_r8c2.png,,YoungAdult,Asian
female_photo_05_college_01_r1c1.png,,YoungAdult,White
female_photo_05_college_02_r1c2.png,,YoungAdult,Asian
female_photo_05_college_03_r2c1.png,,YoungAdult,Asian
female_photo_05_college_04_r2c2.png,,YoungAdult,Asian
female_photo_05_college_05_r3c1.png,,YoungAdult,Asian
female_photo_05_college_06_r3c2.png,,YoungAdult,Asian
female_photo_05_college_07_r4c1.png,,YoungAdult,Asian
female_photo_05_college_08_r4c2.png,,Adult,White
female_photo_05_college_09_r5c1.png,,YoungAdult,Asian
female_photo_05_college_10_r5c2.png,,YoungAdult,White
female_photo_05_college_11_r6c1.png,,Adult,Asian
female_photo_05_college_12_r6c2.png,,YoungAdult,White
female_photo_05_college_13_r7c1.png,,YoungAdult,Asian
female_photo_05_college_14_r7c2.png,,YoungAdult,Asian
female_photo_05_college_15_r8c1.png,,YoungAdult,Asian
female_photo_05_college_16_r8c2.png,,YoungAdult,White
female_photo_06_working_age_01_r1c1.png,,YoungAdult,Asian
female_photo_06_working_age_02_r1c2.png,,Adult,White
female_photo_06_working_age_03_r1c3.png,,Adult,White
female_photo_06_working_age_04_r1c4.png,,YoungAdult,MiddleEastern
female_photo_06_working_age_05_r1c5.png,,Adult,Asian
female_photo_06_working_age_06_r1c6.png,,Adult,White
female_photo_06_working_age_07_r1c7.png,,YoungAdult,Asian
female_photo_06_working_age_08_r1c8.png,,YoungAdult,White
female_photo_06_working_age_09_r1c9.png,,YoungAdult,Asian
female_photo_06_working_age_10_r2c1.png,,Adult,MiddleEastern
female_photo_06_working_age_11_r2c2.png,,YoungAdult,White
female_photo_06_working_age_12_r2c3.png,,Adult,Asian
female_photo_06_working_age_13_r2c4.png,,Adult,White
female_photo_06_working_age_14_r2c5.png,,YoungAdult,MiddleEastern
female_photo_06_working_age_15_r2c6.png,,Adult,MiddleEastern
female_photo_06_working_age_16_r2c7.png,,YoungAdult,White
female_photo_06_working_age_17_r2c8.png,,Adult,White
female_photo_06_working_age_18_r2c9.png,,YoungAdult,Asian
female_photo_06_working_age_19_r3c1.png,,YoungAdult,White
female_photo_06_working_age_20_r3c2.png,,Adult,White
female_photo_06_working_age_21_r3c3.png,,Adult,MiddleEastern
female_photo_06_working_age_22_r3c4.png,,YoungAdult,White
female_photo_06_working_age_23_r3c5.png,,YoungAdult,Asian
female_photo_06_working_age_24_r3c6.png,,Adult,MiddleEastern
female_photo_06_working_age_25_r3c7.png,,YoungAdult,Black
female_photo_06_working_age_26_r3c8.png,,Adult,Asian
female_photo_06_working_age_27_r3c9.png,,Adult,White
female_photo_06_working_age_28_r4c1.png,,YoungAdult,White
female_photo_06_working_age_29_r4c2.png,,Adult,White
female_photo_06_working_age_30_r4c3.png,,YoungAdult,White
female_photo_06_working_age_31_r4c4.png,,YoungAdult,White
female_photo_06_working_age_32_r4c5.png,,YoungAdult,White
female_photo_06_working_age_33_r4c6.png,,YoungAdult,White
female_photo_06_working_age_34_r4c7.png,,YoungAdult,Asian
female_photo_06_working_age_35_r4c8.png,,YoungAdult,Asian
female_photo_06_working_age_36_r4c9.png,,YoungAdult,White
